title_median_salary,total_yrs_exp,company_yrs_exp,total_comp,pop_city_greater_65K,state_median_income,faang,Business,Engineering,Technology
161000,3,3,110000,1,56642,0,0,0,1
161000,8,7,186000,1,90842,0,0,0,1
161000,5,3,140000,1,71117,0,0,0,1
161000,4,1,140000,1,68428,0,0,0,1
161000,9,1,178500,0,84385,0,0,0,1
161000,4,2,120000,1,65667,0,0,0,1
161000,15,10,100000,1,78672,0,0,0,1
161000,1,1,94200,1,84385,0,0,0,1
161000,15,10,100000,1,78672,0,0,0,1
161000,5,3,220000,1,71117,0,0,0,1
161000,15,4,465000,1,84385,0,0,0,1
161000,10,4,142080,1,85245,0,0,0,1
161000,4,4,178000,1,84385,0,0,0,1
161000,5,1,130000,1,85245,0,0,0,1
161000,11,10,617000,1,71117,0,0,0,1
161000,2,0,205000,1,63826,0,0,0,1
161000,4,2,167000,1,77006,1,0,0,1
161000,5,2,455000,1,78672,0,0,0,1
161000,8,0,222500,1,63627,0,0,0,1
161000,1,1,165000,1,71117,0,0,0,1
161000,4,2,225000,0,78672,1,0,0,1
161000,10,10,665000,1,71117,0,0,0,1
161000,1,0,115000,1,78672,0,0,0,1
161000,16,2,300000,1,78672,1,0,0,1
161000,1,0,105000,0,76398,0,0,0,1
161000,3,2,80038,1,71117,0,0,0,1
161000,3,3,138000,0,63627,0,0,0,1
161000,7,1,117500,1,56642,0,0,0,1
161000,13,9,192000,1,61529,0,0,0,1
161000,1,1,100000,1,71117,0,0,0,1
161000,12,12,150000,1,63826,0,0,0,1
161000,2,1,160000,1,63826,0,0,0,1
161000,5,5,270000,1,61529,1,0,0,1
161000,4,2,279000,1,78672,1,0,0,1
161000,10,5,370000,1,71117,0,0,0,1
161000,6,3,188000,1,61224,0,0,0,1
161000,0,0,537500,1,71117,0,0,0,1
161000,10,1,125000,1,57703,0,0,0,1
161000,3,1,110000,1,63826,0,0,0,1
161000,1,1,239000,1,63826,1,0,0,1
161000,3,1,155000,0,76398,0,0,0,1
161000,0,0,79000,1,56642,0,0,0,1
161000,7,0,227061,1,84385,0,0,0,1
161000,4,4,48000,1,77006,0,0,0,1
161000,10,10,300000,1,78672,0,0,0,1
161000,11,2,60000,1,71117,0,0,0,1
161000,3,0,109000,0,73382,0,0,0,1
161000,1,0,100000,1,71117,0,0,0,1
161000,6,0,217600,1,78672,0,0,0,1
161000,10,7,476000,1,78672,0,0,0,1
161000,0,0,187000,1,71117,0,0,0,1
161000,10,1,260000,1,78672,0,0,0,1
161000,5,3,165000,1,78672,0,0,0,1
161000,5,2,105000,1,61224,0,0,0,1
161000,3,1,75000,1,63826,0,0,0,1
161000,4,1,190000,0,78672,1,0,0,1
161000,3,3,233000,1,78672,1,0,0,1
161000,1,1,78750,1,63826,0,0,0,1
161000,14,9,136000,1,58915,0,0,0,1
161000,15,1,150000,1,63826,0,0,0,1
161000,7,2,132000,1,63293,0,0,0,1
161000,10,4,227000,1,63826,0,0,0,1
161000,3,3,244910,1,75231,0,0,0,1
161000,2,1,110000,1,57703,0,0,0,1
161000,6,3,150000,1,68428,1,0,0,1
161000,3,1,140000,1,78672,0,0,0,1
161000,2,2,327000,1,71117,0,0,0,1
161000,1,1,126500,1,68428,0,0,0,1
161000,0,0,140000,1,78672,0,0,0,1
161000,0,0,214500,1,78672,0,0,0,1
161000,7,2,170000,1,78672,0,0,0,1
161000,11,2,145600,1,84385,0,0,0,1
161000,1,1,142500,1,71117,0,0,0,1
161000,8,1,140000,0,84385,0,0,0,1
161000,5,1,120000,0,78672,0,0,0,1
161000,4,3,125000,1,61224,0,0,0,1
161000,3,1,95000,1,76398,0,0,0,1
161000,5,1,178940,1,77006,0,0,0,1
161000,5,1,207000,1,58235,0,0,0,1
161000,13,1,171000,1,68428,0,0,0,1
161000,2,2,145000,1,78672,0,0,0,1
161000,1,1,75000,1,68428,0,0,0,1
161000,6,0,457750,1,77006,0,0,0,1
161000,7,4,175100,1,74197,0,0,0,1
161000,4,4,160000,1,71117,0,0,0,1
161000,14,1,243000,1,77006,0,0,0,1
161000,0,0,175450,1,77006,1,0,0,1
161000,2,2,180152,1,71117,1,0,0,1
161000,2,2,158000,0,84385,0,0,0,1
161000,2,2,188638,1,71117,0,0,0,1
161000,20,1,282000,1,78672,0,0,0,1
161000,8,7,197000,1,77006,1,0,0,1
161000,1,1,130000,1,77006,0,0,0,1
161000,3,3,200000,1,78672,0,0,0,1
161000,10,4,50000,1,71117,0,0,0,1
161000,0,0,139000,1,78672,0,0,0,1
161000,7,1,190000,1,77006,0,0,0,1
161000,10,1,186000,0,85245,0,0,0,1
161000,3,1,120000,1,84385,0,0,0,1
161000,4,1,134000,1,71117,0,0,0,1
161000,2,1,148500,1,84385,0,0,0,1
161000,5,0,368500,1,78672,0,0,0,1
161000,3,2,235000,1,78672,0,0,0,1
161000,10,1,450000,1,78672,0,0,0,1
161000,3,1,112320,1,59234,0,0,0,1
161000,20,3,385000,1,78672,0,0,0,1
161000,5,5,170000,1,77006,1,0,0,1
161000,9,9,215000,1,78672,0,0,0,1
161000,5,2,280000,0,78672,1,0,0,1
161000,12,6,121800,1,77006,0,0,0,1
161000,3,3,160000,1,71117,0,0,0,1
161000,8,1,168000,1,84385,0,0,0,1
161000,1,1,80750,0,76398,0,0,0,1
161000,1,1,65000,1,57703,0,0,0,1
161000,5,1,144000,1,63826,0,0,0,1
161000,0,0,121000,0,63293,0,0,0,1
161000,4,0,160000,1,78672,0,0,0,1
161000,9,4,276000,1,77006,0,0,0,1
